"gdlcode","ID","overlap_area_m2","gdl_area_m2","pct_overlap"
"LAOr116","LAO001",6684982916.40363,14854568891.5204,0.45002873965731
"LAOr116","LAO002",11483201671.0834,14854568891.5204,0.773041732475891
"LAOr117","LAO001",9435720234.70679,9440622309.44586,0.999480746652246
"LAOr117","LAO002",6800998380.01137,9440622309.44586,0.720397253177537
"MARr101","MAR001",13584119156.5949,30586302565.2165,0.44412426535148
"MARr102","MAR001",18216124319.1087,40925484371.5064,0.445104672525057
"MDGr117","MDG002",16985561086.661,66659927005.1646,0.254809176213844
"MDGr121","MDG004",6815870271.83385,20100301583.2762,0.339092935675392
"MDGr122","MDG004",6748598983.66735,23756482873.7274,0.28407399443504
"MEXr104","MEX002",16761859231.197,55538437869.2879,0.301806458270338
"MEXr106","MEX001",102489998605.61,247393528640.929,0.414279222131011
"MEXr108","MEX005",2928293072.48613,5763703425.94978,0.508057555373538
"MEXr116","MEX005",15071888246.7375,58595970394.9571,0.257217145567311
"MEXr118","MEX005",13028618238.8438,28070466712.4887,0.464139708551668
"MEXr122","MEX003",3758846417.95151,11690597893.8115,0.321527303572838
"MEXr131","MEX002",39436205817.9696,39436210392.7095,0.999999883996463
"MMRr101","MNR005",56643443343.7822,88744168586.6295,0.638277920069627
"MMRr102","MNR002",9309286701.02994,11668294719.3447,0.79782752535349
"MMRr103","MNR002",19075146036.6767,29954092444.4689,0.636812685012559
"MMRr106","MNR002",27292637310.6819,41300919024.2864,0.660823970881443
"MMRr107","MNR001",17777998555.1921,38520369715.0786,0.461522012553088
"MMRr112","MNR003",9350640304.2846,9555559542.78774,0.978554972360796
"MMRr114","MNR003",32308782074.3493,33762907388.8809,0.956931276747498
"MNGr101","MNG001",114515537752.443,415190759877.82,0.275814273386387
"MNGr104","MNG002",284673518435.699,288327561422.132,0.987326764848944
"MYSr110","MYS004",4985018774.94011,7886154950.29177,0.63212285408565
"MYSr112","MYS006",73616614806.0091,73916326337.1047,0.995945259377087
"MYSr113","MYS005",50825136517.5663,123795562568.567,0.410557014023952
"MYSr114","MYS004",271791687.21962,271957017.022831,0.999392073773197
"MYSr115","MYS006",70418215.2800213,90646441.5055597,0.776844784091191
"NAMr101","NAM001",14364792384.5112,14531637949.6081,0.988518461189618
"NAMr102","NAM001",56311051585.5661,63612427459.0119,0.885220920422345
"NAMr103","NAM001",65929578252.6844,109693509505.445,0.601034450898042
"NAMr104","NAM001",132740474209.251,161187473370.932,0.823516067553111
"NAMr105","NAM001",12788539125.3949,37074064027.329,0.344945704252113
"NAMr106","NAM001",98440080332.5029,115331899822.579,0.853537316942997
"NAMr107","NAM001",6534923835.98686,10650651308.4744,0.613570348583961
"NAMr108","NAM001",42424317677.6563,48685493695.5287,0.871395449802177
"NLDr101","NLD001",2373649858.05409,2374129438.90911,0.999797997174389
"NLDr102","NLD001",3578649333.88797,3579959877.97126,0.999633922130983
"NLDr103","NLD001",2663459913.95805,2664112485.30669,0.99975505112782
"NLDr104","NLD001",3372575313.57815,3373175801.82427,0.999821981337056
"NLDr105","NLD001",5108285316.21689,5110770765.89741,0.999513683983422
"NLDr106","NLD001",1468372110.20935,1468372110.20936,0.999999999999996
"NLDr107","NLD001",1557700482.32832,1557700482.32833,0.999999999999994
"NLDr108","NLD001",2876215197.12392,2876430612.45342,0.999925110194363
"NLDr109","NLD001",3147577770.66571,3147978809.91028,0.999872604210897
"NLDr109","NLD002",1719055755.50904,3147978809.91028,0.546082378349313
"NLDr110","NLD001",1799053685.80473,1805816494.02645,0.996254985905771
"NLDr110","NLD002",1787269274.14487,1805816494.02645,0.989729177940873
"NLDr111","NLD001",5064868518.27024,5089048950.62091,0.995248536104625
"NLDr112","NLD001",2154224163.09204,2162675178.83032,0.996092332394155
"NPLr101","NPL001",18335173866.6031,28484680410.1451,0.643685433805073
