"gdlcode","ID","overlap_area_m2","gdl_area_m2","pct_overlap"
"INDr111","IND001",93641259722.6825,308054121458.596,0.30397664955529
"INDr120","IND003",7032614706.83213,7083057600.18282,0.992878373126685
"INDr127","IND006",18452633594.4178,53815379810.6299,0.342887733197285
"ITAr104","ITA002",7984846171.52813,23899339215.9505,0.334103219314073
"ITAr104","ITA006",13515940135.0284,23899339215.9505,0.565536143610525
"ITAr105","ITA001",10775454515.9003,10783543275.4577,0.999249897797895
"ITAr106","ITA001",3697330367.9913,4432769640.35696,0.834090347111644
"ITAr107","ITA001",3471698022.78563,13634134581.3008,0.254632811645196
"ITAr111","ITA007",25603282371.7212,25743764236.3566,0.994543072126297
"ITAr114","ITA002",13568440540.164,13595170215.3683,0.998033884476557
"ITAr115","ITA002",6318695047.48685,17896289271.3638,0.353072916495462
"ITAr115","ITA006",8430019025.34671,17896289271.3638,0.471048433422215
"ITAr116","ITA002",3802943584.94167,7794427498.92,0.487905440838163
"ITAr118","ITA001",13486750897.4876,23017865288.9421,0.585925355292037
"ITAr119","ITA001",8432378990.12394,8451969247.50117,0.997682166510127
"ITAr121","ITA001",7911108006.77295,17233603544.4251,0.459051293966438
"JPNr110","JPN001",14800325182.9463,44728298320.1958,0.330893991919733
"JPNr110","JPN002",11423445854.5694,44728298320.1958,0.25539638849644
"KENr103","KEN009",29756945908.6145,84405166798.4786,0.352548866820685
"KGZr102","KGZ001",11633531758.5729,42244339480.6709,0.27538675954197
"KHMr115","KHM002",24252781276.6526,38049244803.5591,0.63740506288272
"KHMr116","KHM001",25384052680.1512,25443891298.9578,0.99764821276339
"LAOr108","LAO003",5865701519.85841,15606993000.0106,0.3758380310579
"LAOr110","LAO002",3531333071.90806,11354874149.21,0.310997112385762
"LAOr111","LAO001",11393458815.9631,15836291566.5879,0.719452453123654
"LAOr111","LAO002",4118478308.51605,15836291566.5879,0.260065829881877
"LAOr112","LAO001",12409675128.2695,16557997662.0322,0.749467138573475
"LAOr113","LAO001",7304873145.89567,21425345772.0021,0.340945402871465
"LAOr113","LAO002",14171268762.6952,21425345772.0021,0.661425440387232
"LAOr114","LAO001",8074907773.33335,10180846223.4658,0.793147013135463
"LAOr114","LAO002",6917833122.18437,10180846223.4658,0.679494903502176
"LAOr115","LAO001",8356281884.95096,8365299810.25311,0.998921984207775
