isocode3,country,u5mort_2011_rto_GDL,u5mort_2015_rto_GDL,u5mort_2005_rto_GDL,u5mort_2009_rto_GDL,u5mort_2017_rto_GDL,u5mort_2002_rto_GDL,u5mort_2013_rto_GDL,u5mort_2019_rto_GDL,u5mort_2000_rto_GDL,u5mort_2016_rto_GDL,u5mort_2010_rto_GDL,u5mort_2006_rto_GDL,u5mort_2023_rto_GDL,u5mort_1996_rto_GDL,u5mort_2004_rto_GDL,u5mort_2014_rto_GDL,u5mort_2022_rto_GDL,u5mort_2012_rto_GDL,u5mort_2001_rto_GDL,u5mort_2018_rto_GDL,u5mort_2021_rto_GDL,u5mort_1998_rto_GDL,u5mort_2003_rto_GDL,u5mort_2008_rto_GDL,u5mort_1994_rto_GDL,u5mort_1997_rto_GDL,u5mort_1995_rto_GDL,u5mort_2007_rto_GDL,u5mort_1999_rto_GDL,u5mort_2020_rto_GDL,u5mort_1992_rto_GDL,u5mort_1993_rto_GDL,u5mort_2024_rto_GDL,u5mort_1991_rto_GDL
COG,"Congo, Rep.",81.79,52.109,123.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRI,Costa Rica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLV,El Salvador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNQ,Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,191.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWZ,Eswatini,NA,NA,NA,NA,NA,NA,NA,NA,89.07,NA,93.822,105.333,NA,NA,NA,88.582,45.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FJI,Fiji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.604,NA,NA,NA,NA,NA,NA,27.435,NA,NA,NA,NA,NA,NA
GAB,Gabon,NA,NA,NA,NA,NA,NA,NA,NA,91.162,NA,NA,NA,NA,NA,NA,NA,NA,63.034,NA,NA,39.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GEO,Georgia,NA,NA,35.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTM,Guatemala,NA,38.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.111,NA,64.532,NA,NA,NA,NA,NA
GUY,Guyana,NA,NA,NA,39.31,NA,NA,NA,20.106,NA,NA,NA,46.675,NA,NA,NA,27.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HND,Honduras,29.449,NA,37.307,NA,NA,NA,NA,24.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
